name,date,val2024_all,val2024_R,val2024_F,val2022_all,val2022_R,val2022_F,baseline,verdict,public,note
s1_ptype_prob,2026-08-26,881.6,898.0,433.1,2470.9,735.5,27.8,s1scr_base,기각,,1단 스크리닝 CB단독 4짝시드 (곁가지: 구종축) | P-3 Δ+1.8<7 시드잡음
s1_ptype_psr,2026-08-26,834.0,868.9,246.6,2404.8,672.2,-73.8,s1scr_base,기각,,1단 스크리닝 CB단독 4짝시드 (곁가지: 구종축)
s1_ptype,2026-08-26,833.5,860.9,302.1,2416.9,684.0,-56.5,s1scr_base,기각,,1단 스크리닝 CB단독 4짝시드 (곁가지: 구종축)
s1scr_base,2026-08-26,879.8,901.7,390.3,2469.4,733.7,29.4,,미판정,,168 CB단독 4짝시드 스크리닝 기준선 (val 파일은 S1_base 와 대소문자 충돌로 덮임 — 수치는 logs/s1_base.log 에 남음)
S1_base,2026-08-27,885.3,900.4,447.0,2479.5,731.9,143.7,,기준선,,168 1WAY cb+ft+mlp 블렌드 8짝시드 (본선 S1 기준선)
S2_way,2026-08-27,860.8,889.1,322.8,2379.9,654.8,-168.1,S1_base,기각(1WAY 대체) / 멤버 유효,,"[실험기록·단독BSS] 정직한 블렌드 Δ +1.1 | 168피처 x 3WAY 포함-배제 identity (CB단독 8짝시드) | 1WAY 대체재로는 기각 (CB단독 881.8 -> 860.8) | ★멤버로는 유효 — 08-27 재판정: cb+ft 881.7 -> 885.8 (Δ+4.1, 같은 자리에서 mlp 는 -9.2). 최초 note 의 'way 분해 폐쇄 근거' 는 철회한다 — 그 판정을 fit(2022) 로 냈는데 단절 건너편이라 편향된 방향이었고 기준선도 3멤버 자체적합이었다. PROGRESS.md 08:10 절 참조"
FAM_r1_lgb31,2026-08-27,779.0,793.9,341.7,2253.4,512.7,-183.0,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +1.2 | [축7] | num_leaves=31 | 블렌드 Δ+1.8 (자체적합) | ρ(cb)=0.9172 | val2022 미측정 — P-2 비하락 관문 미적용
FAM_r1_lgb63,2026-08-27,706.1,720.7,270.2,2037.8,310.4,-551.8,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +1.4 | [축7] ★라운드1~2 승자. 단독 706.1 로 lgb31(779.0)보다 나쁜데 ρ(cb) 0.8493 vs 0.9172 라 블렌드 기여가 +5.1 vs +1.8 이다. 용량을 키우면 단독은 떨어지고 상관도 떨어진다 — lgb127(단독 554.0 ρ 0.7388)에서 Δ+4.3 으로 꺾이므로 63 이 최적점. 3폴드 재측정 진행 중(FAM_f3)
FAM_r1_xgb6,2026-08-27,887.8,901.2,461.2,,,,S1_base,기각,,[축7] | max_depth=6 | 블렌드 Δ+2.4 (자체적합) | ρ(cb)=0.8597 | val2022 미측정 — P-2 비하락 관문 미적용
FAM_r2_lgb127,2026-08-27,889.7,903.6,459.4,,,,S1_base,기각,,[축7] | num_leaves=127 | 블렌드 Δ+4.3 (자체적합) | ρ(cb)=0.7388 | val2022 미측정 — P-2 비하락 관문 미적용
FAM_r2_lgb_dart,2026-08-27,884.6,898.9,452.0,,,,S1_base,기각,,"[축7] dart 는 단독을 lgb 계열 최고(822.2, ft 803.7 보다 높다)로 올리지만 ρ(cb) 도 최고(0.9600)라 블렌드에서 진다. 모델을 개선하되 CB 쪽으로 개선한다"
FAM_r2_lgb_extra,2026-08-27,885.1,900.8,441.8,,,,S1_base,기각,,[축7] 분할점 무작위화(extra_trees)는 제대로 학습시키면 탈상관에 기여하지 않는다 — 같은 함수로 수렴한다. 25트리 배선점검에서 ρ 0.7355 로 보였던 것은 덜 학습된 모델이 덜 닮은 것일 뿐이었다 (3000트리 실측 0.8973). 단독 703.6 으로 lgb63(706.1)과 같은데 Δ 는 -0.3 vs +5.1
FAM_r2_lgb_huber,2026-08-27,887.1,901.2,455.6,,,,S1_base,기각,,[축7] ★무효 arm — objective=huber 가 이 데이터에서 제곱오차와 비트단위로 동일하다 (lgb31 과 예측 최대절대차 0.000e+00). huber 기본 alpha=0.9 인데 0/1 타깃에 예측이 0.486 근처라 잔차가 0.49~0.51 로 alpha 를 못 넘는다. 손실 변경을 다양성 레버로 쓰려면 alpha<0.4 또는 링크가 다른 목적함수를 써야 한다
FAM_r2_lgb_linear,2026-08-27,885.7,900.7,447.8,,,,S1_base,기각,,[축7] ★붕괴 — linear_tree=True 는 NaN 이 있는 상태에서 잎의 선형모형이 외삽으로 폭발한다 (단독 -14471.4). ρ(cb)=-0.10 은 탈상관이 아니라 잡음이고 가중치도 0.005 다. **쓰레기에서 온 낮은 상관은 아무것도 사지 못한다** 는 대조군으로만 유효
FSPEC_r1_cb_f_last1,2026-08-27,107.8,64.5,104.0,885.7,-210.7,-7356.0,S1_base,기각,,[실험기록·단독BSS] [축8] | rows=F_last1 | 블렌드 Δ+2.6 (자체적합) | ρ(cb)=0.2901 | 2폴드 완비 후 재등재
FSPEC_r1_cb_f_only,2026-08-27,349.6,308.2,331.7,1060.0,-57.2,-6971.2,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +2.7 (cb+ft 위) | [축8] | rows=F | 블렌드 Δ+4.2 (자체적합) | ρ(cb)=0.5718 | 2폴드 완비 후 재등재
FSPEC_r1_cb_f_up20,2026-08-27,797.7,806.8,403.7,2412.8,683.3,-90.6,S1_base,기각,,[실험기록·단독BSS] [축8] | wF=20.0 | 블렌드 Δ+2.1 (자체적합) | ρ(cb)=0.9320 | 2폴드 완비 후 재등재
FSPEC_r1_cb_f_up5,2026-08-27,856.3,872.9,405.8,2459.9,728.7,-21.4,S1_base,기각,,[실험기록·단독BSS] [축8] | wF=5.0 | 블렌드 Δ+0.3 (자체적합) | ρ(cb)=0.9800 | 2폴드 완비 후 재등재
FSPEC_r1_cb_last1,2026-08-27,835.9,845.0,441.9,2376.6,664.1,-281.1,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +4.0 (val2022 -7.3 로 관문 미달) | [축8] | rows=last1 | 블렌드 Δ+5.7 (자체적합) | ρ(cb)=0.9409 | 2폴드 완비 후 재등재
FSPEC_r1_cb_last2,2026-08-27,839.4,852.3,417.2,2413.8,699.3,-218.8,S1_base,기각,,[실험기록·단독BSS] [축8] | rows=last2 | 블렌드 Δ-1.1 (자체적합) | ρ(cb)=0.9726 | 2폴드 완비 후 재등재
sj_cb_ft_fonly,2026-08-27,887.7,902.9,448.0,2481.5,743.5,63.3,S1_base,채택,,"★채택 — 현행 배포 cb+ft+mlp 의 mlp 를 F 전문가(cb_f_only, F행만 학습)로 교체. fit(2022·R)->eval(2024) 877.8->887.7 Δ+9.87 (부트스트랩 SE 2.89, 3.42σ, CI[+4.23,+15.50]). val2022 2477.7->2481.5 Δ+3.82 >= 0 으로 P-2 비하락 관문 통과. 포장비용 0 (CatBoost, cb_export 경로 그대로). P-2 의 +21 은 arm대arm 비교(SE 8.6~10.5)용이라 이 비교에 안 맞는다 — 멤버구성 비교의 실측 SE 는 2.2~3.4 이고 2sigma 는 +4.4~+6.8. bootstrap_blend.py 참조"
WAVG_r1_identity,2026-08-27,869.7,897.8,333.8,2374.2,650.2,-183.8,S2_way,기각,,"[실험기록·단독BSS] 정직한 블렌드 Δ +1.2 | [본선 S5 대응] 15 way 계열평균 identity — 가중치 스킴 7종 로짓평균. identity 단독은 860.8(S2_way) -> 869.7 로 +8.9 올랐으나 **블렌드 기여는 +1.1 -> +1.2 로 +0.1** 이다. rho(두 identity)=0.9922 로 사실상 같은 예측기이고 rho(cb) 도 0.9638->0.9609 로 안 움직인다. 정확도는 올렸는데 관계를 못 바꿨다. 자체적합 +9.6 vs 정직 +1.2 (8.4 부풀림, 오늘 최대). 15 의 구 트랙 +17.6 은 A0 826.1 이라는 훨씬 약한 base 위 수치다."
FSPEC_r2_cb_f_d3,2026-08-27,292.0,260.3,201.5,996.0,-65.9,-7523.9,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +0.9 | [축8] | rows=F depth=3 | 블렌드 Δ+2.1 (자체적합) | ρ(cb)=0.5327 | 라운드2 — F 전용 하이퍼 탐색 + 최근성 대조군
FSPEC_r2_cb_f_d8,2026-08-27,438.3,397.7,415.6,998.7,-117.5,-7052.4,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +3.7 (cb+ft 위) | [축8] | rows=F depth=8 | 블렌드 Δ+4.8 (자체적합) | ρ(cb)=0.6440 | 라운드2 — F 전용 하이퍼 탐색 + 최근성 대조군
FSPEC_r2_cb_f_l2hi,2026-08-27,461.2,430.1,367.0,1137.4,1.0,-6714.6,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +3.0 | [축8] | rows=F l2_leaf_reg=30000.0 | 블렌드 Δ+3.7 (자체적합) | ρ(cb)=0.6731 | 라운드2 — F 전용 하이퍼 탐색 + 최근성 대조군
FSPEC_r2_cb_f_l2lo,2026-08-27,174.0,143.2,76.0,841.4,-117.8,-8593.2,S1_base,기각,,[실험기록·단독BSS] 정직한 블렌드 Δ +1.3 | [축8] | rows=F l2_leaf_reg=1000.0 | 블렌드 Δ+3.8 (자체적합) | ρ(cb)=0.3845 | 라운드2 — F 전용 하이퍼 탐색 + 최근성 대조군
